id,text,category,priority
55,Electricity supply unstable voltage fluctuation Nehru Nagar Please take immediate action.,Electricity,Medium
56,Suggest additional water tap point near Bhawarkua park,Water Issues,Low
57,Stray dogs menace near Old Palasia garbage dump biting people,Sanitation,Medium
58,Potholes on Rajiv Gandhi Square road causing tyre punctures daily Please resolve urgently.,Roads & Potholes,Medium
59,Water meter replacement requested for old meter at Nipania This is causing great inconvenience.,Water Issues,Low
60,Request additional street light at Sanyogitaganj dark corner,Electricity,Low
61,Half the street lights in Malharganj colony not working This is causing great inconvenience.,Street Lights,Medium
62,Sewage mixing in drinking water supply at Bombay Hospital Road Residents are suffering.,Water Issues,High
63,Entire Chandan Nagar colony dark for 14 nights crime risk high,Street Lights,High
64,Request electricity connection for South Tukoganj new plot This has been ignored for long.,Electricity,Low
65,Flyover crack damage urgent repair needed at Scheme 54 This is causing great inconvenience.,Roads & Potholes,High
66,All street lights not working Rajendra Nagar area completely dark Residents are suffering.,Street Lights,High
67,Request electricity connection for Annapurna Road new plot Please take immediate action.,Electricity,Low
68,Suggest energy audit for Bombay Hospital Road ward buildings,Electricity,Low
69,Generator backup not starting during cuts at Nipania This is causing great inconvenience.,Electricity,Medium
70,Request electricity connection for Scheme 140 new plot Residents are suffering.,Electricity,Low
71,Entire Lasudia colony dark for 7 nights crime risk high,Street Lights,High
72,Half the street lights in Sukhliya colony not working,Street Lights,Medium
73,New street light requested for dark lane at Bombay Hospital Road,Street Lights,Medium
74,Open defecation near Bhawarkua school health emergency Please resolve urgently.,Sanitation,High
75,Sewage entering residential area Scheme 140 disease outbreak risk Please resolve urgently.,Sanitation,High
76,Water supply only for 4 hours causing inconvenience Race Course Road This has been ignored for long.,Water Issues,Medium
77,Request rainwater harvesting system for Geeta Bhawan colony This has been ignored for long.,Water Issues,Low
78,Request road widening for Bhawarkua narrow lane Kindly look into this matter.,Roads & Potholes,Low
79,Street light on during day wasting electricity at Tilak Nagar This has been ignored for long.,Electricity,Medium
80,Road repairs done poorly broken again within 7 days,Roads & Potholes,Medium
81,Leaking water tap wasting water on Race Course Road main road This is causing great inconvenience.,Water Issues,Medium
82,No water supply for 5 days in entire Rau colony Please take immediate action.,Water Issues,High
83,Old pipeline replacement request for Sector 12 lane This is causing great inconvenience.,Water Issues,Low
84,Electricity bill very high despite less usage in Rajendra Nagar Residents are suffering.,Electricity,Medium
85,Water pipeline burst near Sapna Sangeeta Road road flooded no supply Residents are suffering.,Water Issues,High
86,Request cleaning of Vijay Nagar park pond water body Kindly look into this matter.,Sanitation,Low
87,Suggest dustbin at Tilak Nagar park entrance gate This is causing great inconvenience.,Sanitation,Low
88,Road completely washed out flooded impassable at Scheme 140,Roads & Potholes,High
89,Request tree planting drive in Palasia colony Residents are suffering.,Sanitation,Low
90,Request additional street light at Marimata Chowk dark corner,Electricity,Low
91,Suggest LED replacement for old lights at Malharganj,Electricity,Low
92,Water bill correction request for AB Road address Residents are suffering.,Water Issues,Low
93,Half the street lights in Sector 12 colony not working Please resolve urgently.,Street Lights,Medium
94,Water bill correction request for Regal Square address Please take immediate action.,Water Issues,Low
95,Meter reading not done for 4 months in Chandan Nagar Kindly look into this matter.,Electricity,Medium
96,Request to increase water supply timing at Nanda Nagar Kindly look into this matter.,Water Issues,Low
97,Sewage water mixed in drinking water Khajrana disease risk Please take immediate action.,Water Issues,High
98,Electric meter running fast overcharging Bengali Square residents,Electricity,Medium
99,Water meter not working billing issue at Nipania colony Residents are suffering.,Water Issues,Medium
100,Request light timer adjustment for Treasure Island Area street lights Please take immediate action.,Street Lights,Low
101,Contaminated dirty yellow water supply in Nanda Nagar area Residents are suffering.,Water Issues,High
102,Water bill correction request for Dewas Naka address,Water Issues,Low
103,Water quality slightly bad odour in Bhanwarkua supply Please resolve urgently.,Water Issues,Medium
104,Water pipeline burst near Nehru Nagar road flooded no supply This has been ignored for long.,Water Issues,High
105,Broken water main causing massive flooding near Bhawarkua Please resolve urgently.,Water Issues,High
106,Garbage vehicle not coming on schedule to Sanyogitaganj Please resolve urgently.,Sanitation,Medium
107,Electricity bill very high despite less usage in Kanadiya Road,Electricity,Medium
108,Construction debris dumped illegally at Rajendra Nagar road Residents are suffering.,Sanitation,Medium
109,Entire Ring Road colony dark for 5 nights crime risk high Please resolve urgently.,Street Lights,High
110,Water supply completely stopped since 4 days in Rajiv Gandhi Square Please resolve urgently.,Water Issues,High
111,Toxic waste dumped illegally near Shivaji Nagar water body,Sanitation,High
112,Pipe leakage on road wasting water daily at Scheme 54 This is causing great inconvenience.,Water Issues,Medium
113,Water supply timing irregular in Pardesipura ward This has been ignored for long.,Water Issues,Medium
114,Overhead wire hanging low touching vehicles at Ring Road This is causing great inconvenience.,Electricity,High
115,Flyover crack damage urgent repair needed at Bombay Hospital Road Please resolve urgently.,Roads & Potholes,High
116,Electric short circuit fire sparks from box at Old Palasia This is causing great inconvenience.,Electricity,High
117,Meter reading not done for 7 months in South Tukoganj,Electricity,Medium
118,All street lights not working Rau area completely dark This has been ignored for long.,Street Lights,High
119,Pipeline leaking minor dripping near Chandan Nagar chowk Kindly look into this matter.,Water Issues,Medium
120,Traffic signal light not working properly at Nanda Nagar Please take immediate action.,Roads & Potholes,Medium
121,Request new street light installation at Scheme 140 lane,Electricity,Low
122,Request additional dustbin near Musakhedi bus stop This is causing great inconvenience.,Sanitation,Low
123,Road surface worn out needs resurfacing at Nehru Nagar,Roads & Potholes,Medium
124,New street light requested for dark lane at Palasia Residents are suffering.,Street Lights,Medium
125,Street light timer wrong on at daytime at Bengali Square,Street Lights,Medium
126,Request solar street light for Bijalpur colony lane This is causing great inconvenience.,Street Lights,Low
127,Suggest parking area demarcation at Geeta Bhawan market,Roads & Potholes,Low
128,Road completely washed out flooded impassable at Sector 12 Please take immediate action.,Roads & Potholes,High
129,Road cave in sinkhole formed at Scheme 78 near main market Kindly look into this matter.,Roads & Potholes,High
130,Dustbin overflowing garbage spilling on road at Agrawal Nagar Kindly look into this matter.,Sanitation,Medium
131,Open garbage burning smoke nuisance near Scheme 140 Please resolve urgently.,Sanitation,Medium
132,No water supply for 5 days in entire Bypass Road colony Please resolve urgently.,Water Issues,High
133,Road surface worn out needs resurfacing at Bombay Hospital Road Kindly look into this matter.,Roads & Potholes,Medium
134,Request cleaning of Rau park pond water body Kindly look into this matter.,Sanitation,Low
135,1 street lights broken on main road Polo Ground Residents are suffering.,Street Lights,Medium
136,Electric pole tilting about to fall on road at Polo Ground Kindly look into this matter.,Electricity,High
137,High mast light tower tilting about to fall at Annapurna Road Please resolve urgently.,Street Lights,High
138,Street light timer wrong on at daytime at Bengali Square This has been ignored for long.,Street Lights,Medium
139,High tension wire snapped fallen on road Polo Ground emergency Please take immediate action.,Electricity,High
140,Water meter not working billing issue at Geeta Bhawan colony This is causing great inconvenience.,Water Issues,Medium
141,Request traffic mirror at blind corner near Kanadiya Road This is causing great inconvenience.,Roads & Potholes,Low
142,Garbage segregation not done by vehicle at Khajrana This is causing great inconvenience.,Sanitation,Medium
143,Electricity supply unstable voltage fluctuation Vijay Nagar,Electricity,Medium
144,Dead animals decomposing on road health hazard at Scheme 54,Sanitation,High
145,Street light timer wrong on at daytime at Bombay Hospital Road Residents are suffering.,Street Lights,Medium
146,Flickering street light disturbing residents at Rau Please take immediate action.,Street Lights,Medium
147,Request rainwater harvesting system for Old Palasia colony Kindly look into this matter.,Water Issues,Low
148,Open garbage burning smoke nuisance near Bombay Hospital Road Please resolve urgently.,Sanitation,Medium
149,Entire AB Road colony dark for 2 nights crime risk high,Street Lights,High
150,High voltage wire touching tree branches at Rajiv Gandhi Square risk,Electricity,High
151,Garbage piling up for 10 days no collection Race Course Road,Sanitation,Medium
152,Broken light pole fallen on road blocking traffic at Bypass Road Please resolve urgently.,Street Lights,High
153,Sewage water mixed in drinking water Marimata Chowk disease risk Please resolve urgently.,Water Issues,High
154,Garbage segregation not done by vehicle at Sanyogitaganj Please take immediate action.,Sanitation,Medium
155,Drainage completely blocked sewage backup flooding Lasudia Please resolve urgently.,Sanitation,High
156,Suggest LED replacement for old lights at Treasure Island Area,Electricity,Low
157,Road repairs done poorly broken again within 6 days This has been ignored for long.,Roads & Potholes,Medium
158,Street light pole hit by vehicle sparking dangerously Scheme 78,Street Lights,High
159,Street lights dim not bright enough at Kanadiya Road road Kindly look into this matter.,Street Lights,Medium
160,Sewage mixing in drinking water supply at Annapurna Road,Water Issues,High
161,Sewage pipeline burst waste water flooding Sanyogitaganj area,Sanitation,High
162,Meter reading not done for 5 months in Khajrana,Electricity,Medium
163,Suggest smart meters installation in South Tukoganj ward Please take immediate action.,Electricity,Low
164,Suggest additional water tap point near Regal Square park,Water Issues,Low
165,Massive deep pothole causing accidents at Khajrana highway,Roads & Potholes,High
166,Electricity bill very high despite less usage in Chandan Nagar Please resolve urgently.,Electricity,Medium
167,Potholes on Rajendra Nagar road causing tyre punctures daily Kindly look into this matter.,Roads & Potholes,Medium
168,Electricity bill very high despite less usage in Lasudia,Electricity,Medium
169,Power cut during peak hours daily problem at Kanadiya Road Residents are suffering.,Electricity,Medium
170,High voltage wire touching tree branches at Scheme 78 risk This is causing great inconvenience.,Electricity,High
171,Request additional dustbin near Sanyogitaganj bus stop Residents are suffering.,Sanitation,Low
172,CCTV cameras not working due to power issue at Bhanwarkua Residents are suffering.,Electricity,Medium
173,Meter reading not done for 10 months in Polo Ground Residents are suffering.,Electricity,Medium
174,Water meter not working billing issue at Bhanwarkua colony Kindly look into this matter.,Water Issues,Medium
175,Suggest water audit for Chandan Nagar ward reduce wastage,Water Issues,Low
176,Contaminated dirty yellow water supply in Agrawal Nagar area Residents are suffering.,Water Issues,High
177,Road completely washed out flooded impassable at Khajrana,Roads & Potholes,High
178,Dustbin overflowing garbage spilling on road at Gandhi Nagar Please resolve urgently.,Sanitation,Medium
179,Garbage segregation not done by vehicle at Khajrana This is causing great inconvenience.,Sanitation,Medium
180,Transformer blast fire sparks at Treasure Island Area urgent needed,Electricity,High
181,Water meter not working billing issue at Vijay Nagar colony,Water Issues,Medium
182,Road cave in sinkhole formed at South Tukoganj near main market Kindly look into this matter.,Roads & Potholes,High
183,Electricity supply unstable voltage fluctuation Marimata Chowk Please resolve urgently.,Electricity,Medium
184,Suggest CCTV with lights at Nehru Nagar entry point,Street Lights,Low
185,Water quality slightly bad odour in Chandan Nagar supply This is causing great inconvenience.,Water Issues,Medium
186,Street lights dim not bright enough at Palasia road Please resolve urgently.,Street Lights,Medium
187,Flickering street light disturbing residents at Bhanwarkua Kindly look into this matter.,Street Lights,Medium
188,Flickering street light disturbing residents at Sapna Sangeeta Road,Street Lights,Medium
189,Request street light on newly built road at Musakhedi,Street Lights,Low
190,Electricity bill very high despite less usage in Airport Road,Electricity,Medium
191,Request to increase water supply timing at Bangali Chowk Please take immediate action.,Water Issues,Low
192,Open drain overflowing sewage water entering homes at Agrawal Nagar Residents are suffering.,Sanitation,High
193,Massive deep pothole causing accidents at Scheme 54 highway,Roads & Potholes,High
194,Road divider collapsed blocking lanes at Pardesipura highway,Roads & Potholes,High
195,Live electric wire fallen on road at Rajiv Gandhi Square danger to life Please resolve urgently.,Electricity,High
196,Suggest smart street lighting for Bypass Road main road,Street Lights,Low
197,Old pipeline replacement request for Race Course Road lane,Water Issues,Low
198,Pipeline leaking minor dripping near Khajrana chowk,Water Issues,Medium
199,Suggest parking area demarcation at Polo Ground market,Roads & Potholes,Low
200,Request additional street light at Rau dark corner,Electricity,Low
201,Power cut during peak hours daily problem at LIG Colony,Electricity,Medium
202,Electricity supply unstable voltage fluctuation Kanadiya Road,Electricity,Medium
203,Water supply completely stopped since 2 days in Sector 12 Please take immediate action.,Water Issues,High
204,Pothole near Agrawal Nagar school children at risk daily,Roads & Potholes,Medium
205,Overhead wire hanging low touching vehicles at LIG Colony This has been ignored for long.,Electricity,High
206,Power cut during peak hours daily problem at Kanadiya Road This has been ignored for long.,Electricity,Medium
207,Suggest road divider plantation beautification at Juni Indore,Roads & Potholes,Low
208,Water tanker not coming since 10 days Residency Area residents suffering,Water Issues,High
209,CCTV cameras not working due to power issue at Bypass Road,Electricity,Medium
210,Garbage not collected since 14 days in Kanadiya Road colony Residents are suffering.,Sanitation,Medium
211,Road shoulder eroded narrow dangerous at Vijay Nagar highway,Roads & Potholes,Medium
212,Suggest underground cabling for Kanadiya Road to avoid poles,Electricity,Low
213,Stray wire sparking on road near Marimata Chowk school danger This has been ignored for long.,Electricity,High
214,Street light not working since 2 days at Nipania Kindly look into this matter.,Street Lights,Medium
215,Suggest underground cabling for AB Road to avoid poles Please resolve urgently.,Electricity,Low
216,Broken water main causing massive flooding near Bengali Square This has been ignored for long.,Water Issues,High
217,Suggest lights on Pardesipura walking track path Please take immediate action.,Street Lights,Low
218,Open manhole cover missing accident risk at Bhanwarkua road Please resolve urgently.,Roads & Potholes,High
219,Suggest CCTV with lights at Bangali Chowk entry point,Street Lights,Low
220,Suggest road beautification drive for Bangali Chowk main road Please resolve urgently.,Roads & Potholes,Low
221,Suggest composting unit for Polo Ground wet waste Residents are suffering.,Sanitation,Low
222,CCTV cameras not working due to power issue at Polo Ground,Electricity,Medium
223,All street lights not working Tilak Nagar area completely dark This is causing great inconvenience.,Street Lights,High
224,Request tree planting drive in Rau colony,Sanitation,Low
225,Garbage piling up for 14 days no collection Khajrana Kindly look into this matter.,Sanitation,Medium
226,Water quality slightly bad odour in Airport Road supply Please take immediate action.,Water Issues,Medium
227,Electric pole tilting about to fall on road at AB Road,Electricity,High
228,Broken light pole fallen on road blocking traffic at Shivaji Nagar,Street Lights,High
229,Request street light on newly built road at Scheme 54 Residents are suffering.,Street Lights,Low
230,Request tree planting drive in Bengali Square colony,Sanitation,Low
231,Road marking lines faded invisible at Scheme 78 junction Kindly look into this matter.,Roads & Potholes,Medium
232,Sewage entering residential area Lasudia disease outbreak risk Please resolve urgently.,Sanitation,High
233,Half the street lights in Chandan Nagar colony not working Residents are suffering.,Street Lights,Medium
234,Construction debris dumped illegally at Rau road,Sanitation,Medium
235,Open garbage burning smoke nuisance near Malharganj Please resolve urgently.,Sanitation,Medium
236,3 street lights broken on main road Ring Road Please take immediate action.,Street Lights,Medium
237,Request to increase water supply timing at Geeta Bhawan,Water Issues,Low
238,Suggest lights on Bijalpur walking track path Please take immediate action.,Street Lights,Low
239,Water quality slightly bad odour in Scheme 140 supply Kindly look into this matter.,Water Issues,Medium
240,Power cut during peak hours daily problem at Polo Ground,Electricity,Medium
241,High voltage wire touching tree branches at Scheme 78 risk,Electricity,High
242,Contaminated dirty yellow water supply in Musakhedi area,Water Issues,High
243,Street light not working since 5 days at Pardesipura Residents are suffering.,Street Lights,Medium
244,Suggest LED replacement for old lights at Scheme 78 Please resolve urgently.,Electricity,Low
245,Stray dogs menace near Nanda Nagar garbage dump biting people,Sanitation,Medium
246,Road shoulder eroded narrow dangerous at Nehru Nagar highway This is causing great inconvenience.,Roads & Potholes,Medium
247,Water supply timing irregular in Polo Ground ward,Water Issues,Medium
248,Meter reading not done for 6 months in Dewas Naka This is causing great inconvenience.,Electricity,Medium
249,Flyover crack damage urgent repair needed at Bombay Hospital Road Kindly look into this matter.,Roads & Potholes,High
250,Half the street lights in Race Course Road colony not working,Street Lights,Medium
251,Street light not working since 10 days at Nehru Nagar Residents are suffering.,Street Lights,Medium
252,Suggest solar lights for Bengali Square park pathway,Electricity,Low
253,Raw sewage flowing on street children playing Agrawal Nagar Residents are suffering.,Sanitation,High
254,Frequent power cuts 6 times daily affecting Nanda Nagar Please resolve urgently.,Electricity,Medium
255,Road surface worn out needs resurfacing at Residency Area,Roads & Potholes,Medium
256,Request cleaning of Bijalpur park pond water body Residents are suffering.,Sanitation,Low
257,Street light pole rusted leaning at Nipania needs repair This is causing great inconvenience.,Street Lights,Medium
258,High mast light tower tilting about to fall at Pardesipura,Street Lights,High
259,Street light pole rusted leaning at Kanadiya Road needs repair This is causing great inconvenience.,Street Lights,Medium
260,Road completely submerged under water impassable Bhawarkua,Roads & Potholes,High
261,Multiple potholes on Juni Indore road causing vehicle damage,Roads & Potholes,Medium
262,Request rumble strips near Lasudia school zone This is causing great inconvenience.,Roads & Potholes,Low
263,Request reflector posts on Gandhi Nagar road curve Kindly look into this matter.,Roads & Potholes,Low
264,Public toilet dirty unhygienic condition at Scheme 140,Sanitation,Medium
265,Sewage pipeline burst waste water flooding LIG Colony area,Sanitation,High
266,Request electricity connection for Rau new plot Please take immediate action.,Electricity,Low
267,Request additional dustbin near Nehru Nagar bus stop,Sanitation,Low
268,Street light pole rusted leaning at Bhawarkua needs repair,Street Lights,Medium
269,Massive crater on main road vehicles damaged at Sanyogitaganj Please resolve urgently.,Roads & Potholes,High
270,Suggest water audit for Bombay Hospital Road ward reduce wastage Kindly look into this matter.,Water Issues,Low
271,Road surface worn out needs resurfacing at Bhanwarkua Kindly look into this matter.,Roads & Potholes,Medium
272,Manhole overflow raw sewage on road at Agrawal Nagar colony Kindly look into this matter.,Sanitation,High
273,Suggest road divider plantation beautification at Dewas Naka,Roads & Potholes,Low
274,Old pipeline replacement request for Bypass Road lane This is causing great inconvenience.,Water Issues,Low
275,Broken footpath Race Course Road elderly people falling risk Residents are suffering.,Roads & Potholes,Medium
276,Street light pole rusted leaning at Vijay Nagar needs repair,Street Lights,Medium
277,Massive crater on main road vehicles damaged at Sanyogitaganj Residents are suffering.,Roads & Potholes,High
278,Old pipeline replacement request for AB Road lane,Water Issues,Low
279,Electricity bill very high despite less usage in Khajrana This has been ignored for long.,Electricity,Medium
280,Water pipeline burst near Nanda Nagar road flooded no supply Kindly look into this matter.,Water Issues,High
281,Public toilet dirty unhygienic condition at Lasudia,Sanitation,Medium
282,Road completely washed out flooded impassable at Bijalpur,Roads & Potholes,High
283,Electricity bill very high despite less usage in Nanda Nagar,Electricity,Medium
284,All street lights not working Juni Indore area completely dark,Street Lights,High
285,Broken water main causing massive flooding near Palasia Please take immediate action.,Water Issues,High
286,Dirty black water coming from taps in Polo Ground since 7 days Kindly look into this matter.,Water Issues,High
287,Suggest cycle track along LIG Colony main road Kindly look into this matter.,Roads & Potholes,Low
288,CCTV cameras not working due to power issue at Bypass Road,Electricity,Medium
289,Sewage entering residential area Chandan Nagar disease outbreak risk,Sanitation,High
290,All street lights not working Polo Ground area completely dark,Street Lights,High
291,Open manhole cover missing accident risk at Bhanwarkua road Please resolve urgently.,Roads & Potholes,High
292,Suggest zebra crossing painting at Sukhliya junction Please take immediate action.,Roads & Potholes,Low
293,Dirty black water coming from taps in Marimata Chowk since 4 days This has been ignored for long.,Water Issues,High
294,Drain blocked water stagnating mosquitoes breeding LIG Colony Residents are suffering.,Sanitation,Medium
295,Request reflector posts on Scheme 78 road curve,Roads & Potholes,Low
296,Street light timer wrong on at daytime at South Tukoganj Please resolve urgently.,Street Lights,Medium
297,Suggest solar lights for Juni Indore park pathway,Electricity,Low
298,Meter reading not done for 6 months in Juni Indore This has been ignored for long.,Electricity,Medium
299,Suggest solar lights for Scheme 140 park pathway Residents are suffering.,Electricity,Low
300,Road repairs done poorly broken again within 1 days This is causing great inconvenience.,Roads & Potholes,Medium
301,Suggest smart street lighting for Annapurna Road main road This is causing great inconvenience.,Street Lights,Low
302,Request light timer adjustment for Palasia street lights,Street Lights,Low
303,Garbage dump fire toxic smoke affecting LIG Colony residents,Sanitation,High
304,6 street lights broken on main road Tilak Nagar Please take immediate action.,Street Lights,Medium
305,Road completely broken vehicles falling in crater at LIG Colony Residents are suffering.,Roads & Potholes,High
306,Dirty black water coming from taps in Khajrana since 5 days This has been ignored for long.,Water Issues,High
307,Bridge railing broken dangerous for vehicles at Geeta Bhawan Please take immediate action.,Roads & Potholes,High
308,Suggest additional water tap point near Kanadiya Road park Please resolve urgently.,Water Issues,Low
309,Broken light pole fallen on road blocking traffic at Ring Road Please resolve urgently.,Street Lights,High
310,Road shoulder eroded narrow dangerous at Rajendra Nagar highway,Roads & Potholes,Medium
311,Drain blocked water stagnating mosquitoes breeding Chandan Nagar This has been ignored for long.,Sanitation,Medium
312,New street light requested for dark lane at Nehru Nagar Kindly look into this matter.,Street Lights,Medium
313,Street light timer wrong on at daytime at Kanadiya Road,Street Lights,Medium
314,Short circuit sparks from street light pole at Lasudia This is causing great inconvenience.,Street Lights,High
315,Short circuit sparks from street light pole at Chandan Nagar,Street Lights,High
316,Power cut during peak hours daily problem at Scheme 78 This has been ignored for long.,Electricity,Medium
317,Request reflector posts on Annapurna Road road curve Residents are suffering.,Roads & Potholes,Low
318,Garbage not collected since 5 days in Sapna Sangeeta Road colony Residents are suffering.,Sanitation,Medium
319,Public toilet dirty unhygienic condition at Geeta Bhawan Please take immediate action.,Sanitation,Medium
320,Transformer oil leaking fire hazard at Race Course Road substation This is causing great inconvenience.,Electricity,High
321,Entire Bengali Square colony dark for 7 nights crime risk high,Street Lights,High
322,Garbage not collected since 7 days in AB Road colony Kindly look into this matter.,Sanitation,Medium
323,Suggest festive lighting plan for Sapna Sangeeta Road market area This is causing great inconvenience.,Street Lights,Low
324,New street light requested for dark lane at Residency Area,Street Lights,Medium
325,Request additional street light at Bypass Road dark corner Please resolve urgently.,Electricity,Low
326,Request rumble strips near Bangali Chowk school zone Kindly look into this matter.,Roads & Potholes,Low
327,Suggest CCTV with lights at Gandhi Nagar entry point,Street Lights,Low
328,Street light timer wrong on at daytime at Treasure Island Area,Street Lights,Medium
329,Water tanker delayed by 4 hours daily at Musakhedi Please take immediate action.,Water Issues,Medium
330,Electric short circuit fire sparks from box at Vijay Nagar,Electricity,High
331,High mast light tower tilting about to fall at Musakhedi,Street Lights,High
332,Request electricity connection for Tilak Nagar new plot Please resolve urgently.,Electricity,Low
333,Suggest CCTV with lights at Airport Road entry point,Street Lights,Low
334,All street lights not working Lasudia area completely dark,Street Lights,High
335,All street lights not working Marimata Chowk area completely dark Please take immediate action.,Street Lights,High
336,Suggest festive lighting plan for Bombay Hospital Road market area This is causing great inconvenience.,Street Lights,Low
337,Sewage pipeline burst waste water flooding Nipania area,Sanitation,High
338,Power fluctuation damaging appliances in Kanadiya Road homes,Electricity,Medium
339,Request road widening for Scheme 54 narrow lane,Roads & Potholes,Low
340,Suggest monthly cleaning drive for Bijalpur ward,Sanitation,Low
341,Garbage not collected since 4 days in Bhawarkua colony,Sanitation,Medium
342,Suggest smart street lighting for Rajiv Gandhi Square main road Residents are suffering.,Street Lights,Low
343,Street light pole rusted leaning at Regal Square needs repair Please take immediate action.,Street Lights,Medium
344,Request additional dustbin near Sanyogitaganj bus stop Please take immediate action.,Sanitation,Low
345,Dustbin overflowing garbage spilling on road at Old Palasia Residents are suffering.,Sanitation,Medium
346,Suggest festive lighting plan for Bhawarkua market area Residents are suffering.,Street Lights,Low
347,Massive crater on main road vehicles damaged at Dewas Naka,Roads & Potholes,High
348,Meter reading not done for 1 months in Nanda Nagar Kindly look into this matter.,Electricity,Medium
349,Suggest CCTV with lights at Dewas Naka entry point,Street Lights,Low
350,High mast light tower tilting about to fall at Tilak Nagar This has been ignored for long.,Street Lights,High
351,Garbage piling up for 10 days no collection Pardesipura Please take immediate action.,Sanitation,Medium
352,Request additional power socket in Bypass Road community hall,Electricity,Low
353,Suggest dustbin at Bangali Chowk park entrance gate Please resolve urgently.,Sanitation,Low
354,Transformer blast fire sparks at Bhawarkua urgent needed,Electricity,High
355,Request additional dustbin near Vijay Nagar bus stop,Sanitation,Low
356,No water supply for 5 days in entire Agrawal Nagar colony,Water Issues,High
